query_id,query,relevant_document_ids,relevant_document_excerpt,top1_document_id,top1_excerpt,top1_score,top5_document_ids,failure_observation,selection_type
emanual_176,How can I search for the channels?,doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_af3de84130096de7,"Adding channels to a favorites list. Select channels to add, and then select the icon. The selected channels are added to the favorites list.",doc_c246ec277efd47fe,Editing channels. Edit the channels stored on your TV. Live TV Channel List All Channels Edit Channels The Edit Channels screen contains the following icons: : A favorite channel : A locked channel.,0.12778162,doc_c246ec277efd47fe|doc_fe8b5be25413f30d|doc_d2eed91f926a63e8|doc_3af6b352347331b3|doc_af3de84130096de7,Query 与正确文档共享的可见词项较少，词法匹配信号不足。,low_rank_or_low_score_hit
emanual_302,How do I check scheduled viewings?,doc_021c12c35b16c64e|doc_0312927d1c998db2|doc_a516564b3a344f30,"Setting up a scheduled viewing for a channel. Using the schedule viewing options from the guide screen On the Guide screen, select a program you would like to view, press and hold the Select button, and then select Schedule Viewing in the pop-up menu that app…",doc_a41de15e5b29bc4a,"Using the guide. Live TV Guide Try Now The image on your TV may differ from the image above depending on the model and geographical area. In the Guide , you can see the daily program schedules for each broadcaster, see program information, choose a program to…",0.09028463,doc_a41de15e5b29bc4a|doc_0957beae540a0ea4|doc_f2a6f947643fc60e|doc_0312927d1c998db2|doc_60dafa15fdeb038e,Query 与正确文档共享的可见词项较少，词法匹配信号不足。,low_rank_or_low_score_hit
emanual_490,Can I configure Tint?,doc_353741387bfd6387,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_1eb01c14078311bb,"Changing the input signal. Source When you select a connected external device on the Source screen, the output of the selected device is displayed on the TV's screen. To control a device (Blu-ray player, game console, etc.) that supports universal remote cont…",0.09936416,doc_1eb01c14078311bb|doc_5f9d9d64cde629ee|doc_2c3942511eba49a0|doc_353741387bfd6387|doc_af2ec7a96f792725,Query 与正确文档共享的可见词项较少，词法匹配信号不足。,low_rank_or_low_score_hit
emanual_486,Can I configure Brightness?,doc_353741387bfd6387|doc_afc84e50acac12bb,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_1eb01c14078311bb,"Changing the input signal. Source When you select a connected external device on the Source screen, the output of the selected device is displayed on the TV's screen. To control a device (Blu-ray player, game console, etc.) that supports universal remote cont…",0.10737193,doc_1eb01c14078311bb|doc_5f9d9d64cde629ee|doc_af2ec7a96f792725|doc_afc84e50acac12bb|doc_2c3942511eba49a0,Query 与正确文档共享的可见词项较少，词法匹配信号不足。,low_rank_or_low_score_hit
emanual_19,How to configure Contrast and Sharpness?,doc_353741387bfd6387,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_60dafa15fdeb038e,"Using Smart Hub. Learn how to open Smart Hub to access apps, games, movies, and more.",0.14486342,doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd|doc_353741387bfd6387|doc_2bbca0997af7e74a,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
emanual_618,Can I change the menu language option?,doc_2c3942511eba49a0|doc_c4a1cafcf274cbae,"Enabling voice guides for the visually impaired. Settings General Accessibility Voice Guide Settings Try Now You can activate voice guides that describe the menu options aloud to aid the visually impaired. To activate this function, set Voice Guide . With Voi…",doc_d4d50252bc60bc84,Picture and Sound. You can change the settings for the picture and the sound according to your preference.,0.16295655,doc_d4d50252bc60bc84|doc_425a79f5973c1d9d|doc_d2eed91f926a63e8|doc_2c3942511eba49a0|doc_0012580590c4c18b,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
emanual_97,What are the uses of buttons in the e-manual?,doc_1725377e288e3615,Using the buttons in the e-Manual. Search ): Select an item from the search results to load the corresponding page. Index ): Select a keyword to navigate to the relevant page. Recently Viewed Topics ): Select a topic from the list of recently viewed topics. T…,doc_4fa7990263faeb2a,Using the e-Manual. Control and read the manual embedded in your TV.,0.30020338,doc_4fa7990263faeb2a|doc_83dbad72020c426c|doc_2caad8a88899272a|doc_1725377e288e3615|doc_0012580590c4c18b,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
emanual_631,Where do I find Reset option ?,doc_25dffc7c886f9021|doc_c62d865190756e69|doc_e46962318e2553d7,Resetting Your Network. Settings General Network Reset Network Try Now Restore the network settings to the factory default.,doc_ef91d3ce054acb3a,"Using the instant and schedule recording options from the guide screen:. To record a program that is on now, open the program guide, move to the program, and then press and hold the Select button. You will get a pop-up menu. Use the up and down directional bu…",0.06474113,doc_ef91d3ce054acb3a|doc_f0e90fb8f636298c|doc_25dffc7c886f9021|doc_202f58843ae10ffc|doc_0f015058bf7c2775,相似但错误的文档与 Query 共享更多可见关键词。,low_rank_or_low_score_hit
emanual_473,I want to setup a beautiful screens. How can I do that?,doc_d0b12e9c89efb338,"Displaying the Home Screen. Press the button. The image on your TV may differ from the image above depending on the model and geographical area. On the Home Screen, you can easily run the apps you have used previously or frequently. The apps can also be moved…",doc_d2eed91f926a63e8,"I Have Trouble Launching/Using Apps. When apps aren't working, these steps may help resolve the problem. The problem Try this! I launched an app, but it's in English. How can I change the language? My application is not working.",0.09777839,doc_d2eed91f926a63e8|doc_fd9f5beff7a82de8|doc_d0b12e9c89efb338|doc_1877001c624f7540|doc_af2ec7a96f792725,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
emanual_211,How do I configure Sharpness?,doc_353741387bfd6387,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_5f9d9d64cde629ee,Using the Sound Support Functions. Configure the sound settings for your TV.,0.09865494,doc_5f9d9d64cde629ee|doc_60dafa15fdeb038e|doc_353741387bfd6387|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
