dataset,corpus,query_id,split,query_type,difficulty,method,baseline_rank,rank,rank_delta_baseline_minus_method,change,hit_at_5,query,relevant_document_ids,top5_document_ids
english,english_152,emanual_403,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I enable/disable light effect?,doc_af2ec7a96f792725|doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_bb306395cc6d4f76|doc_60dafa15fdeb038e|doc_706dedfd66e0c194|doc_da1300ebb4dd314e
english,english_152,emanual_605,validation,english,emanual,tfidf,1,1,0,unchanged,True,Where do I find accessibility shortcuts functions?,doc_c054145800fbf428|doc_f0e90fb8f636298c,doc_c054145800fbf428|doc_0e27df103bf080bd|doc_f0e90fb8f636298c|doc_c4a1cafcf274cbae|doc_0012580590c4c18b
english,english_152,emanual_132,test,english,emanual,tfidf,2,2,0,unchanged,True,How do I turn on High Contrast using Bixby?,doc_3deec08e7a494c6d|doc_cb5137af2abe18b6,doc_2bbca0997af7e74a|doc_cb5137af2abe18b6|doc_3deec08e7a494c6d|doc_c054145800fbf428|doc_f0e90fb8f636298c
english,english_152,emanual_396,validation,english,emanual,tfidf,1,1,0,unchanged,True,What is the function of 'Learn Menu Screen'?,doc_1c805f0df386110a|doc_44e1346840a728bb,doc_1c805f0df386110a|doc_44e1346840a728bb|doc_f0e90fb8f636298c|doc_c054145800fbf428|doc_9ea31ceb018bd241
english,english_152,emanual_522,validation,english,emanual,tfidf,1,1,0,unchanged,True,Can I do Sound Mirroring?,doc_93b5337a580bd24e|doc_dc30edcb02d26e16,doc_dc30edcb02d26e16|doc_93b5337a580bd24e|doc_5f9d9d64cde629ee|doc_d4d50252bc60bc84|doc_99b36d27411cc595
english,english_152,emanual_365,test,english,emanual,tfidf,1,1,0,unchanged,True,My IP auto setting failed. How to configure it?,doc_e778c8da35de9c2f,doc_e778c8da35de9c2f|doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd|doc_c3adb567b151b0fb
english,english_152,emanual_395,test,english,emanual,tfidf,1,1,0,unchanged,True,What is the function of 'Learn TV Remote'?,doc_9ea31ceb018bd241,doc_9ea31ceb018bd241|doc_f0e90fb8f636298c|doc_0012580590c4c18b|doc_c054145800fbf428|doc_1c805f0df386110a
english,english_152,emanual_101,validation,english,emanual,tfidf,1,1,0,unchanged,True,I am not getting full display picture. How do I do that?,doc_d5537ad686b27380|doc_e0c8d52bda0ed65c,doc_d5537ad686b27380|doc_e12736352b7e2a01|doc_e0c8d52bda0ed65c|doc_db1a96f5b1f00b6e|doc_d4d50252bc60bc84
english,english_152,emanual_426,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I fix the missing/wrong color issue ?,doc_bb306395cc6d4f76,doc_bb306395cc6d4f76|doc_599100686061968d|doc_60dafa15fdeb038e|doc_64626f5b3d334fe7|doc_da1300ebb4dd314e
english,english_152,emanual_393,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I invert the screen colors?,doc_599100686061968d,doc_599100686061968d|doc_0f4a2c01c63c7750|doc_33672282ba406baa|doc_e0c8d52bda0ed65c|doc_bb3e0d00176d1755
english,english_152,emanual_98,validation,english,emanual,tfidf,1,1,0,unchanged,True,How to surf internet on my TV?,doc_47ce19cf70eb6dd7|doc_6935de094dfc03d5,doc_6935de094dfc03d5|doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd|doc_58f9883ef5600855
english,english_152,emanual_305,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I record using time Timeshift function?,doc_5d7d7b3b2abc89df|doc_740618e7a565f652,doc_740618e7a565f652|doc_5d7d7b3b2abc89df|doc_1c2902da5d91b0b5|doc_ae3ce3395e81ce1c|doc_202165cdad773eb5
english,english_152,emanual_478,validation,english,emanual,tfidf,1,1,0,unchanged,True,I want to change the auto brightness setting. How can I do that?,doc_1ccf529a297411ff|doc_559038e0a46f70dd,doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_af2ec7a96f792725|doc_d2eed91f926a63e8|doc_202165cdad773eb5
english,english_152,emanual_19,test,english,emanual,tfidf,4,4,0,unchanged,True,How to configure Contrast and Sharpness?,doc_353741387bfd6387,doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd|doc_353741387bfd6387|doc_2bbca0997af7e74a
english,english_152,emanual_225,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I configure Color Space Settings?,doc_353741387bfd6387,doc_353741387bfd6387|doc_5f9d9d64cde629ee|doc_599100686061968d|doc_60dafa15fdeb038e|doc_64626f5b3d334fe7
english,english_152,emanual_631,test,english,emanual,tfidf,3,3,0,unchanged,True,Where do I find Reset option ?,doc_25dffc7c886f9021|doc_c62d865190756e69|doc_e46962318e2553d7,doc_ef91d3ce054acb3a|doc_f0e90fb8f636298c|doc_25dffc7c886f9021|doc_202f58843ae10ffc|doc_0f015058bf7c2775
english,english_152,emanual_401,validation,english,emanual,tfidf,2,2,0,unchanged,True,How do I change the menu language option?,doc_2c3942511eba49a0,doc_d2eed91f926a63e8|doc_2c3942511eba49a0|doc_0012580590c4c18b|doc_e12736352b7e2a01|doc_44e1346840a728bb
english,english_152,emanual_454,test,english,emanual,tfidf,1,1,0,unchanged,True,I get this error 'some files cannot be played'. How do I fix this?,doc_34b450cc73b25221|doc_81063f3c891a1b05|doc_cef1248669442981,doc_cef1248669442981|doc_c62d865190756e69|doc_34b450cc73b25221|doc_1725377e288e3615|doc_81063f3c891a1b05
english,english_152,emanual_188,test,english,emanual,tfidf,1,1,0,unchanged,True,How can I turn on ambient mode on TV screen?,doc_1ccf529a297411ff|doc_fd9f5beff7a82de8,doc_fd9f5beff7a82de8|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_da1300ebb4dd314e|doc_af2ec7a96f792725
english,english_152,emanual_423,validation,english,emanual,tfidf,2,2,0,unchanged,True,What do I do if the channel is not found?,doc_202f58843ae10ffc|doc_5727e1afc29df334|doc_db1a96f5b1f00b6e,doc_4ae5dbe8a44556a1|doc_db1a96f5b1f00b6e|doc_5727e1afc29df334|doc_a00c8eaf77703d82|doc_e7ca421f430ee3c1
english,english_152,emanual_275,validation,english,emanual,tfidf,1,1,0,unchanged,True,What are the precautions for bixby?,doc_487682275d5ba6d5,doc_487682275d5ba6d5|doc_3deec08e7a494c6d|doc_740618e7a565f652|doc_75b8a9fd66adafa1|doc_da1300ebb4dd314e
english,english_152,emanual_287,validation,english,emanual,tfidf,1,1,0,unchanged,True,Explain the steps how to do Schedule Recording from the guide screen?,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a|doc_5d7d7b3b2abc89df|doc_a41de15e5b29bc4a|doc_a516564b3a344f30
english,english_152,emanual_191,test,english,emanual,tfidf,2,2,0,unchanged,True,Can you explain Ambient Mode?,doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_af2ec7a96f792725,doc_fd9f5beff7a82de8|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_da1300ebb4dd314e|doc_af2ec7a96f792725
english,english_152,emanual_176,test,english,emanual,tfidf,5,5,0,unchanged,True,How can I search for the channels?,doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_af3de84130096de7,doc_c246ec277efd47fe|doc_fe8b5be25413f30d|doc_d2eed91f926a63e8|doc_3af6b352347331b3|doc_af3de84130096de7
english,english_152,emanual_283,test,english,emanual,tfidf,3,3,0,unchanged,True,How can I select channel filter option ?,doc_4ae5dbe8a44556a1|doc_af3de84130096de7,doc_a41de15e5b29bc4a|doc_d2eed91f926a63e8|doc_af3de84130096de7|doc_99b36d27411cc595|doc_a17d0b6c852f901f
english,english_152,emanual_555,validation,english,emanual,tfidf,3,3,0,unchanged,True,Can I select an external device connected to the TV?,doc_1eb01c14078311bb|doc_62c766ca8620a46c,doc_3116d72414e56f1e|doc_1877001c624f7540|doc_62c766ca8620a46c|doc_0af7c92f8dbdb29b|doc_64626f5b3d334fe7
english,english_152,emanual_637,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I fix powering on issue?,doc_bb306395cc6d4f76,doc_bb306395cc6d4f76|doc_e778c8da35de9c2f|doc_6315e132a25457cc|doc_e5596e1b3e874338|doc_425a79f5973c1d9d
english,english_152,emanual_535,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I set the clock manually?,doc_c0c0b15cc2de836c,doc_c0c0b15cc2de836c|doc_8cef7e3848eac080|doc_f2a6f947643fc60e|doc_a516564b3a344f30|doc_3feef92b8b9bf00c
english,english_152,emanual_256,validation,english,emanual,tfidf,1,1,0,unchanged,True,How to set Daylight Saving Time (DST)?,doc_c0c0b15cc2de836c,doc_c0c0b15cc2de836c|doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd|doc_f2a6f947643fc60e
english,english_152,emanual_267,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I update TV’s software through Internet?,doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_58f9883ef5600855|doc_c987f7c29cc250f8
english,english_152,emanual_543,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I select Auto Power Off?,doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_bb306395cc6d4f76|doc_af2ec7a96f792725|doc_99b36d27411cc595|doc_559038e0a46f70dd
english,english_152,emanual_599,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I get better audio quality. What are the connections guidelines for it?,doc_63df1531cbdc659b|doc_c0720d5f0d595fea|doc_d3ccc0799b2a15fd,doc_c0720d5f0d595fea|doc_d3ccc0799b2a15fd|doc_b004658a7d9ff39a|doc_e12736352b7e2a01|doc_58f9883ef5600855
english,english_152,emanual_466,test,english,emanual,tfidf,1,1,0,unchanged,True,I dont know about Universal Guide. What is it?,doc_c8cba373f361e344,doc_c8cba373f361e344|doc_d0b12e9c89efb338|doc_41c59520df46bac2|doc_1eb01c14078311bb|doc_3116d72414e56f1e
english,english_152,emanual_276,test,english,emanual,tfidf,1,1,0,unchanged,True,Please instruct how to record any program?,doc_0957beae540a0ea4|doc_5d7d7b3b2abc89df|doc_ef91d3ce054acb3a,doc_ef91d3ce054acb3a|doc_60dafa15fdeb038e|doc_5d7d7b3b2abc89df|doc_202165cdad773eb5|doc_da1300ebb4dd314e
english,english_152,emanual_282,test,english,emanual,tfidf,11,11,0,unchanged,False,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_a41de15e5b29bc4a|doc_3a3e2297d8738f02|doc_f0e90fb8f636298c|doc_6935de094dfc03d5|doc_0e7fbbe1ec22ae1b
english,english_152,emanual_186,validation,english,emanual,tfidf,3,3,0,unchanged,True,What is the use of search option in tne smart hub?,doc_0e7fbbe1ec22ae1b|doc_de8b8dd292c3b28e,doc_60dafa15fdeb038e|doc_5d0f867bdf5d3927|doc_de8b8dd292c3b28e|doc_fe8b5be25413f30d|doc_487682275d5ba6d5
english,english_152,emanual_116,test,english,emanual,tfidf,1,1,0,unchanged,True,My software update over the Internet has failed. How do I fix this?,doc_755e377f476da28d|doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_615a7c3ab71fc9f0|doc_39d0ee956dd210f7
english,english_152,emanual_85,validation,english,emanual,tfidf,3,3,0,unchanged,True,How can I check app details?,doc_9bcc997d8d11776c,doc_d2eed91f926a63e8|doc_7d9084e249b806f6|doc_9bcc997d8d11776c|doc_3116d72414e56f1e|doc_8a7e529a6a2552da
english,english_152,emanual_524,validation,english,emanual,tfidf,2,2,0,unchanged,True,Can I select Sound Feedback?,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776,doc_dc30edcb02d26e16|doc_99b36d27411cc595|doc_5f9d9d64cde629ee|doc_1877001c624f7540|doc_d4d50252bc60bc84
english,english_152,emanual_413,test,english,emanual,tfidf,1,1,0,unchanged,True,Where do I find signal information ?,doc_370d54180294fdd8,doc_370d54180294fdd8|doc_0f015058bf7c2775|doc_db1a96f5b1f00b6e|doc_202f58843ae10ffc|doc_422d081516bd1cce
english,english_152,emanual_648,test,english,emanual,tfidf,2,2,0,unchanged,True,Can I fix odd sound of speaker?,doc_422d081516bd1cce|doc_dc30edcb02d26e16,doc_93b5337a580bd24e|doc_422d081516bd1cce|doc_5f9d9d64cde629ee|doc_d4d50252bc60bc84|doc_99b36d27411cc595
english,english_152,emanual_442,test,english,emanual,tfidf,1,1,0,unchanged,True,What do I do if wireless network connection failed?,doc_39d0ee956dd210f7|doc_e778c8da35de9c2f,doc_39d0ee956dd210f7|doc_e778c8da35de9c2f|doc_47ce19cf70eb6dd7|doc_25dffc7c886f9021|doc_db1a96f5b1f00b6e
english,english_152,emanual_529,validation,english,emanual,tfidf,1,1,0,unchanged,True,Can I set the current time on the TV?,doc_c0c0b15cc2de836c,doc_c0c0b15cc2de836c|doc_021c12c35b16c64e|doc_8cef7e3848eac080|doc_3feef92b8b9bf00c|doc_0957beae540a0ea4
english,english_152,emanual_434,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I fix Weak or No Signal issue?,doc_202f58843ae10ffc|doc_370d54180294fdd8,doc_202f58843ae10ffc|doc_db1a96f5b1f00b6e|doc_39d0ee956dd210f7|doc_370d54180294fdd8|doc_bb306395cc6d4f76
english,english_152,emanual_468,validation,english,emanual,tfidf,2,2,0,unchanged,True,I don't know about Ambient Mode. Can you explain briefly?,doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_af2ec7a96f792725,doc_fd9f5beff7a82de8|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_da1300ebb4dd314e|doc_af2ec7a96f792725
english,english_152,emanual_527,validation,english,emanual,tfidf,1,1,0,unchanged,True,Can I connect to the bluetooth audio devices to the TV?,doc_3feef92b8b9bf00c|doc_b525bb5a3da3aa93,doc_b525bb5a3da3aa93|doc_3feef92b8b9bf00c|doc_9a205fc1630e4713|doc_804541978d7fce82|doc_fce8424fccb22773
english,english_152,emanual_371,test,english,emanual,tfidf,2,2,0,unchanged,True,How can I connect my mobile device to the TV?,doc_4575d3ff16a9c519|doc_7d9084e249b806f6|doc_a00c8eaf77703d82,doc_e5596e1b3e874338|doc_7d9084e249b806f6|doc_804541978d7fce82|doc_c028da2f1c056433|doc_93b5337a580bd24e
english,english_152,emanual_348,validation,english,emanual,tfidf,2,2,0,unchanged,True,How to update the TV automatically ?,doc_755e377f476da28d|doc_c0f02da9d00f95d9,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_60dafa15fdeb038e|doc_34c598c35f3e6406
english,english_152,emanual_618,validation,english,emanual,tfidf,4,4,0,unchanged,True,Can I change the menu language option?,doc_2c3942511eba49a0|doc_c4a1cafcf274cbae,doc_d4d50252bc60bc84|doc_425a79f5973c1d9d|doc_d2eed91f926a63e8|doc_2c3942511eba49a0|doc_0012580590c4c18b
english,english_152,emanual_284,test,english,emanual,tfidf,145,145,0,unchanged,False,How can I change Antenna type?,doc_db1a96f5b1f00b6e,doc_d2eed91f926a63e8|doc_a41de15e5b29bc4a|doc_d4d50252bc60bc84|doc_b004658a7d9ff39a|doc_c028da2f1c056433
english,english_152,emanual_310,test,english,emanual,tfidf,2,2,0,unchanged,True,How can I jump forward / jump backward?,doc_21e1954dbcd5e7b3,doc_ae3ce3395e81ce1c|doc_21e1954dbcd5e7b3|doc_d2eed91f926a63e8|doc_da1300ebb4dd314e|doc_60dafa15fdeb038e
english,english_152,emanual_514,validation,english,emanual,tfidf,1,1,0,unchanged,True,Can I select Optimized sound mode?,doc_99b36d27411cc595,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776|doc_706dedfd66e0c194|doc_1877001c624f7540|doc_d0b12e9c89efb338
english,english_152,emanual_69,validation,english,emanual,tfidf,1,1,0,unchanged,True,How to create a Samsung account using a Facebook account?,doc_88924c0794a9c8d4,doc_88924c0794a9c8d4|doc_fbd8475fad369e41|doc_5c5589c27cc2fd98|doc_75b8a9fd66adafa1|doc_fe8b5be25413f30d
