dataset,corpus,split,query_type,method,query_id,query,relevant_document_ids,top5_document_ids,observation
english_221,221,test,english,tfidf,emanual_176,How can I search for the channels?,doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_af3de84130096de7,doc_99298e6ce8a369cb|doc_fe8b5be25413f30d|doc_c246ec277efd47fe|doc_d2eed91f926a63e8|doc_3af6b352347331b3,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_283,How can I select channel filter option ?,doc_4ae5dbe8a44556a1|doc_af3de84130096de7,doc_a41de15e5b29bc4a|doc_7053f89cc7e28fba|doc_d2eed91f926a63e8|doc_09768321cd4ba86c|doc_c5132f1d8c720040,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_555,Can I select an external device connected to the TV?,doc_1eb01c14078311bb|doc_62c766ca8620a46c,doc_ecf785b83c1c1e49|doc_ddd6ae0d609aa092|doc_3116d72414e56f1e|doc_8a791c96504e4485|doc_9037c6468fd9ab9c,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_282,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_a41de15e5b29bc4a|doc_bfa33793ab1fe7de|doc_3a3e2297d8738f02|doc_09768321cd4ba86c|doc_f0e90fb8f636298c,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_284,How can I change Antenna type?,doc_db1a96f5b1f00b6e,doc_d2eed91f926a63e8|doc_a41de15e5b29bc4a|doc_b004658a7d9ff39a|doc_d4d50252bc60bc84|doc_c028da2f1c056433,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_146,Where do I find Guide Screen option?,doc_0012580590c4c18b|doc_1c805f0df386110a,doc_ef91d3ce054acb3a|doc_bfa33793ab1fe7de|doc_a516564b3a344f30|doc_f0e90fb8f636298c|doc_0312927d1c998db2,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_212,How do I configure Color?,doc_353741387bfd6387,doc_5f9d9d64cde629ee|doc_599100686061968d|doc_60dafa15fdeb038e|doc_afafb124cc440374|doc_64626f5b3d334fe7,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_1,What is source and how to serch data for channels?,doc_1eb01c14078311bb|doc_4ae5dbe8a44556a1,doc_cfaf16da067601a6|doc_60dafa15fdeb038e|doc_9037c6468fd9ab9c|doc_d3ccc0799b2a15fd|doc_da1300ebb4dd314e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_451,TV audio is not being played through the receiver. What should I do?,doc_16dcff0dc12a6a13|doc_422d081516bd1cce,doc_8b3d319a2cd834b3|doc_843de728d0327cde|doc_3feef92b8b9bf00c|doc_c0720d5f0d595fea|doc_e66d2e96bcd55a11,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_302,How do I check scheduled viewings?,doc_021c12c35b16c64e|doc_0312927d1c998db2|doc_a516564b3a344f30,doc_3bf0ef285005ae77|doc_a41de15e5b29bc4a|doc_6a9904e1c70aa2ec|doc_0957beae540a0ea4|doc_f2a6f947643fc60e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_490,Can I configure Tint?,doc_353741387bfd6387,doc_afafb124cc440374|doc_97b116ccdcc0db63|doc_5f9d9d64cde629ee|doc_1eb01c14078311bb|doc_2c3942511eba49a0,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_325,How do I select and view channels from favorite list only ?,doc_3af6b352347331b3,doc_ffe8bf4b5c0e3c80|doc_e7ca421f430ee3c1|doc_95fa017d8afc2bc7|doc_c246ec277efd47fe|doc_242dd5273a96502e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_486,Can I configure Brightness?,doc_353741387bfd6387|doc_afc84e50acac12bb,doc_afafb124cc440374|doc_97b116ccdcc0db63|doc_af2ec7a96f792725|doc_5f9d9d64cde629ee|doc_1eb01c14078311bb,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,dense,emanual_196,From where I can select beautiful screens?,doc_1877001c624f7540|doc_d0b12e9c89efb338,doc_353741387bfd6387|doc_af9e1db1daf8b03b|doc_c8cba373f361e344|doc_2bbca0997af7e74a|doc_bb306395cc6d4f76,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,dense,emanual_473,I want to setup a beautiful screens. How can I do that?,doc_d0b12e9c89efb338,doc_353741387bfd6387|doc_e12736352b7e2a01|doc_2bbca0997af7e74a|doc_f2a6f947643fc60e|doc_fd9a7389dc034d9c,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,dense,emanual_282,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_3a3e2297d8738f02|doc_5d7d7b3b2abc89df|doc_a41de15e5b29bc4a|doc_09768321cd4ba86c|doc_6d5820ee6e37bce8,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,hybrid,emanual_282,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_3a3e2297d8738f02|doc_a41de15e5b29bc4a|doc_09768321cd4ba86c|doc_bfa33793ab1fe7de|doc_5d7d7b3b2abc89df,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,hybrid,emanual_284,How can I change Antenna type?,doc_db1a96f5b1f00b6e,doc_370d54180294fdd8|doc_c028da2f1c056433|doc_b004658a7d9ff39a|doc_ddd6ae0d609aa092|doc_425a79f5973c1d9d,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,hybrid,emanual_451,TV audio is not being played through the receiver. What should I do?,doc_16dcff0dc12a6a13|doc_422d081516bd1cce,doc_3feef92b8b9bf00c|doc_dc30edcb02d26e16|doc_8b3d319a2cd834b3|doc_4fddcd013da0197c|doc_b525bb5a3da3aa93,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-002,故障代码E07表示什么？,unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-003,E02故障应该如何处理？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-004,E03故障应该如何处理？,unit_94850904cf039fcc1678,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-008,安全参数章节叫什么？,unit_4102e7b75c61bddf397f,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,semantic,tfidf,mxq-010,设备发出高温告警后应该排查哪个部位？,unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,semantic,tfidf,mxq-015,感知元件掉线后怎样恢复？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,semantic,tfidf,mxq-016,供电异常时怎样让设备恢复？,unit_94850904cf039fcc1678,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-018,E02和E07中哪个代表传感器离线？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,tfidf,mxq-019,E03故障是否应该检查散热？,unit_94850904cf039fcc1678,unit_0163e2051a2ebd5d095e|unit_03db816ac89ed1434516|unit_0861be8afba46dca2c51|unit_088a259df618945202b2|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,hybrid,mxq-003,E02故障应该如何处理？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_088a259df618945202b2|unit_12dd3556798a53065a50|unit_0861be8afba46dca2c51|unit_4e6240ee45aff210b43d,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,hybrid,mxq-004,E03故障应该如何处理？,unit_94850904cf039fcc1678,unit_0163e2051a2ebd5d095e|unit_088a259df618945202b2|unit_12dd3556798a53065a50|unit_0861be8afba46dca2c51|unit_4e6240ee45aff210b43d,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,semantic,hybrid,mxq-015,感知元件掉线后怎样恢复？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51|unit_2bc981741b7b9f68f243|unit_0cadd16eefbcfde43d0b|unit_4912a65c603f231bd224,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,semantic,hybrid,mxq-016,供电异常时怎样让设备恢复？,unit_94850904cf039fcc1678,unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51|unit_2bc981741b7b9f68f243|unit_0cadd16eefbcfde43d0b|unit_1d7396a1c70ac608332a,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,hybrid,mxq-018,E02和E07中哪个代表传感器离线？,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_088a259df618945202b2|unit_4e6240ee45aff210b43d|unit_0cadd16eefbcfde43d0b|unit_0163e2051a2ebd5d095e|unit_2bc981741b7b9f68f243,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
chinese_mx100,29,chinese,keyword,hybrid,mxq-019,E03故障是否应该检查散热？,unit_94850904cf039fcc1678,unit_088a259df618945202b2|unit_4e6240ee45aff210b43d|unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51|unit_0cadd16eefbcfde43d0b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
